league,team_0,team_1,kick_off_epoch,kick_off_timestamp,home_team,bookmaker,odds_0,odds_1,odds_2,odds_0_or,odds_1_or,odds_2_or,bookmaker_margin,stripped_0,stripped_1,stripped_2,target_0,target_1,target_2
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Betfair,1.76,4.9,4.2,0.5681818181818182,0.2040816326530612,0.23809523809523808,1.0103586889301175,0.5623565416985463,0.20198928844682476,0.23565416985462892,1.7782312925170067,4.950757575757576,4.2435064935064934
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Ladbrokes,1.67,4.4,3.5,0.5988023952095809,0.22727272727272727,0.2857142857142857,1.1117894081965938,0.5385933620116813,0.2044206623998881,0.2569859755884307,1.8566883116883113,4.891873396065012,3.8912629286880787
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Matchbook,1.76,4.75,4.05,0.5681818181818182,0.21052631578947367,0.2469135802469136,1.0256217142182056,0.5539877035607839,0.2052670227930483,0.2407452736461678,1.8050942170240416,4.871703142536477,4.153767942583732
Belgium First Div,Gent,Royal Excel Mouscron,1613418300,2021-02-15 19:45:00,Gent,Unibet,1.46,6.4,4.3,0.684931506849315,0.15625,0.23255813953488372,1.0737396463841988,0.6378934680821473,0.14551944740623984,0.2165870845116128,1.5676598837209303,6.871933736858873,4.6170804794520555
Belgium First Div,Gent,Royal Excel Mouscron,1613418300,2021-02-15 19:45:00,Gent,Betclic,1.5,6.15,4.33,0.6666666666666666,0.16260162601626016,0.23094688221709006,1.0602151749000168,0.6288031735911876,0.1533666277051677,0.21783019870364467,1.5903227623500253,6.520323325635104,4.590731707317073
Belgium First Div,Gent,Royal Excel Mouscron,1613418300,2021-02-15 19:45:00,Gent,Marathon Bet,1.5,6.3,4.45,0.6666666666666666,0.15873015873015872,0.2247191011235955,1.0501159265204207,0.634850543478261,0.15115489130434784,0.21399456521739132,1.575173889780631,6.615730337078651,4.673015873015872
Belgium First Div,Gent,Royal Excel Mouscron,1613418300,2021-02-15 19:45:00,Gent,Betway,1.5,5.75,4.5,0.6666666666666666,0.17391304347826086,0.2222222222222222,1.0628019323671496,0.6272727272727273,0.16363636363636366,0.2090909090909091,1.5942028985507246,6.11111111111111,4.782608695652174
Belgium First Div,Gent,Royal Excel Mouscron,1613418300,2021-02-15 19:45:00,Gent,Betfair,1.52,6.4,4.5,0.6578947368421053,0.15625,0.2222222222222222,1.0363669590643276,0.6348086757185681,0.1507670604831599,0.21442426379827187,1.5752777777777778,6.632748538011697,4.663651315789474
Belgium First Div,Gent,Royal Excel Mouscron,1613418300,2021-02-15 19:45:00,Gent,Ladbrokes,1.44,6.0,3.9,0.6944444444444444,0.16666666666666666,0.25641025641025644,1.1175213675213675,0.6214149139579349,0.14913957934990438,0.22944550669216063,1.6092307692307695,6.705128205128206,4.358333333333333
Belgium First Div,Gent,Royal Excel Mouscron,1613418300,2021-02-15 19:45:00,Gent,Matchbook,1.49,6.7,4.6,0.6711409395973155,0.14925373134328357,0.2173913043478261,1.037785975288425,0.6467045764525673,0.14381937595736197,0.20947604759007074,1.5463011031797533,6.953166034432449,4.773815486326755
Belgium First Div,Eupen,Waasland-Beveren,1613577600,2021-02-17 16:00:00,Waasland-Beveren,Unibet,1.8,3.95,3.75,0.5555555555555556,0.2531645569620253,0.26666666666666666,1.0753867791842475,0.5166099921527596,0.23541721161391574,0.2479727962333246,1.9356962025316455,4.247777777777778,4.032700421940929
